id,name,image_url,limit,description,pantry_id
1,"Bag Lunch","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxISEhUSExMVFhUXFRcVFxcXFRUVFRcVGBcWFxcXFRUYHSggGBolGxUVITEhJSkrLi4uFx8zODMtNygtLisBCgoKDg0OFhAQGSsdFRo3LysrKysrLS0tLSsrKys3KystLS0rKy0tLS0rKystLS0tLSs3Ky0tLTcrNysrKysrLf/AABEIAK8BIAMBIgACEQEDEQH/xAAbAAEAAQUBAAAAAAAAAAAAAAAAAwECBAUHBv/EAEIQAAIBAgIGBgcECAYDAAAAAAABAgMRBCEGEjFBUZEFYXGhwdETIjJSgZKxB0JyshUWNENTY3OiFCMkYuHwM4LC/8QAGQEBAAMBAQAAAAAAAAAAAAAAAAECBAUD/8QAJBEBAQACAQQDAQADAQAAAAAAAAECEQQDEiExMkFRIhRhcRP/2gAMAwEAAhEDEQA/AO4gAAAAAAAAAAAADNBpZitWEYJ5yd3+Ff8ALRvzxv2jS9DReKvfUSgqdvacpbpXy3v4Hn1d9t0v09d021SmXxqI8EtO+OHmuySLo6dw30p/2mDV/G17zWKxrI8TR05o741F/wCt/oZUNMcI/vSS64sjynT1+vldPMvVXrfNnkv1qwl8qy5NEsNJcK/30eY8na9T6eXvS5slhip+/L5peZ5+l0hCSTjUi1tVmnkSPEt5qQ7qjtjeLHVf4k/mZX9IVf4kuZoHjJreWSxc88+4d1/Tsn49N+lK38SXd5BdLVl+8fJeR5j/AB8lbYXvpGXDIn/0v6jsn49N+mq3v9y8jHxGlk6M6Ou04zqwpyySspvVvktzcTSfpB8DQ6T4iU3FW9WytLL2m5N267RjzLTqZb9q3p43xp2+JUhwdRShGS+9FS5pMmOixAAAAAAAAAAAAAAAAAAAAAAAAKM8rpnq1NWk1dL1mut5Lu1uZ6pnhulsRrV5vcpaq7Fl4M8OvlrHX69ejN5f8ebraO0ZfdsayvopT+6euRRwMLY8LW0T4GJU0ZlwR0bUHoUTujmE9HnwMep0FbcdPnho8CGWBi9w7qacsqdCtbLlqwlWPszkuyUl4nTK3RcXuMeXQUHuJ7jTnyxGKjsrVPmv9SZdNYxfvG+1Rfge1qaORsYtTRtE90NPL/rHirWbi+2HkSR0pxO+MPll5m/novwRBLRiVx/KPLWQ0tr/AMOHeZ+Eq1MS1KSSSTSitmbu327OSLlo809ncbvA4b0UG3uTduzMi6THTND6utg6Dfuavytx8Dcmn0QX+jo/hf5mbg6OPxjn5e6AAsgAAAAAAAAAAAAAAAAAAAAAR16mrGUnuTfJXOaupd34u9+tnutJK+ph6nWlH5ml9LnP3IxcrLzI1cfHxayo1SaEzAVQrGsZttGmxhK5JJmDSrErrkoVltRfFIjUkSAWpF0YhlbgUmgqaKxkXpEixUisaaL9pJDaEMZ4dX2Gn0krqFF22ykoLrvdvui+Zv6+SueI0zr/AOZTp8E5vtk9WPdF8xUx1jQ2opYKi17r/MzdHkfs0xGthNX3KklztLxPWpnR6d3jGDOaysVABdUAAAAAAAAAAAAAAAAAAAAowPM6cV7U4Q96TfwivOSPGNnodOK160I+7C/xk34JHnWc3r3edb+hNYRRTLlLMjkVSPF6slVLEiqGGmSpk7NMhTJIVDEuVhUJ2jTMlULozMWMyWDG1UktpNTqbjH1i5EjMiSqJhUpszou5KEGOV0u05p07ifSYqrLcnqLshaP1TOkdK1/R05VPdjKXJXRyylQbze3f1kLYun/AGT18q0PwTXen4HQ0cn+y+q44uUPepS7nF+B1hG7j3eDH15rOqgA93iAAAAAAAAAAAAAAAAAAAUZUpIDnOlVS+KqdWquUV4tmrRkdM1tbEVn/MkuTt4GMn1HJzu8q6WE1jFJIuRRMqiqy1lYsrJFoSvTL4sjiXoISJkilkQJkikSLoyJXMhpsukEJqcthn06ljW0iX01i0qLGHpnXth9X35Rj8F6z+i5niqStY9PpVLWdNcIuXxdl4GgdIWrYzw9VoNK2MpPLNTi/lfkdXONaF1HHF0euVuaaOyI2ca/yx8n5xUAGlnAAAAAAAAAAAAAAAAAAAKMqUkByHHS/wA2o+NSb5yZZGoSVo6zbWfrPzI40XwZyL7dOeokjULlMi9EySNJvMhK9bSskWar2by6FwLksisUFs+BTMkXaqLoRI9dolp1twEqhbcESQrZbi1VkyUK3LZIuvciqXughq+kvWqPqSj3X8TXSgbRq7k+Lb7/ACRBVpkWrRZo7LVxNF8KkfzLzO1ROI4R6lWD4Ti+TR25GziXxWXlTzFQAa2UAAAAAAAAAAAAAAAAAAAtkXFGBx2plJ2dmpNP4Nl9KrLiRYt2rVY8KtRf3MuRyL7rqT1E/ppcVyJKdZmN2lW7EDKjieou9OvdMW5LCSAyfTR4FVVg9qfeY0QpEo0zNam95a6cHskr8cu8xiKqt42abSGGW6SfcWPByWaaMCM8zJ13kyZUJ1RqLg/gQ1ZTjdtK2/zvYpKrLizHxFeWpK73AWYdJq5StBGLCRlYZXuiq0YWJiuF+vedjwU9aEZcYxfNHLHCO86X0FK+Hpf04dySNfF91m5PqM8AG1kAAAAAAAAAAAAAAAAAAAKSKlJAcc6aVsTWX82f5mRwlkT6SQ/1VfZ/5JfW5g029hyMvlXVxn8xmRkSNGPEmg7lTSjkTQZBLZcU2BkxRUipyKqVwaTJFld5FIrrKVciUKbye7IPiHU7gMu6ZhY+Novrt9S9V7EeKqKUbX+95jZpiUmZ+CWZgWsbHopbWQmq1snmdH0c/ZqX4F4nhalJPaj3nQKth6a/2o18X5Vl5PqNgADcyAAAAAAAAAAAAAAAAAAAFGVKMDkWltFf4qtK22o7mnUUtlz0GmFO2IrfjT5xT8TQVNpx+p8q63T+MZ0IJ73n1jUe6b+v1MeMrImjMqtoipbNZfFF8Vben2XRG2tZk+He0IXQpSeaS5ry2Eiw8/df9vmIVLXJqOL6yUXaKFOfuvl5FMRB8H8r2cjOp4hE8p3TfBE6VtaZ05texK3GzsWRm17WXbkbnC13FW3GVCpF3ulcnR3PNSz2NPsa/wCoqqb2PivE9DUo0ntSfwNV0ilTajDer7M1ty695Fid7YSotyUbG3pU9VWNXGTve+f/AFmZTxZEpYzNfie76Ad8PSf+xeJz2piI6rd89i7ToGjn7NR/pxNfFv8AVZuT8Y2QANzGAAAAAAAAAAAAAAAAAAAUZUtnKwHNNM8sXUT3qD/tS8GeZrxV0el06qReI1tZJuCWbS2OX/B5ytOLSaknuyaOT1prPJ1Oj5wiqZfFkVORfF5nk9tKt5l0KjRHPJ5lqmDSVVGFMsQRG06ZNKoZdHG29VrJ+Br4SLq18nwJlUuLbRrXJYTvyNVh6qM2hVReVSxlNGtxmc31WXJedzPlUStd2zRgxg22+Lb5sVCyCKVI2uzLp4feV9EmV0tK19OEpbE2dV0ejbDUV/Lj9DmrWrmjpnQX7PR/pw/KjVw/lWblXxGeADoMQAAAAAAAAAAAAAAAAAABDiI3TJgwOc6T6Pzqt2PHVtCaq2XO5ypJ7iyWFi9xS4S+1pnZ6cFnoviY7JSXxIX0bjYbJX7VfvR3yWAg9yIZ9E03uR53oY36ek6+c+3B6tXGr7kHzXgRrpLEL28P8sr/AFO51OgKT+6jFq6L0nuRW8XD8ek5WbjMOnbP16NRcfVv9CddO0Htco/ii0dTq6H0nuRhVtCKb3I87xJ+rTl37jwFLpPDvZVXM2FPFU5KynF/FNm/r6A03uXcazEfZ3T92PcUvE/2v/ly/TDcLZrZwLlrrNeZSWgso+xOUfw1JLuuR/q/ioezXl8XGX1RW8XL6q05WP42WDxDqepOKyWte1m9Uy1B27DTUcJjE161N9sfJm1pdH4uf34xv7qX/wBXE4+f2rl18PpkRju45GPWxNODtKavwvd8lmZtHRKc/bqSl2yduSyNvgND6UNyPTHjX7rzvI/I8/0ZSnWkklqx3t7bdS8zpeCgowSWxJJdiVkYuD6LhDYjYRVjT0+lOn6eGfUuftUAHq8wAAAAAAAH/9k=",1,"This brown bag contains a lunch",1
2,"PBJ sandwich",https://en.wikipedia.org/wiki/Peanut_butter_and_jelly_sandwich#/media/File:Peanut-Butter-Jelly-Sandwich.jpg,2,"Peanut butter and jelly sandwich ready for pickup",2
3,Applesauce,https://en.wikipedia.org/wiki/Apple_sauce#/media/File:Applesauce.jpg,1,"Applesauce with no sugar added",3
4,Pasta,https://en.wikipedia.org/wiki/Pasta#/media/File:CSIRO_ScienceImage_11385_Pasta_made_from_durum_wheat.jpg,1,"Box of pasta noodles or mac and cheese",4
5,Rice,"https://en.wikipedia.org/wiki/Rice#/media/File:White,_Brown,_Red_&_Wild_rice.jpg",2,"Box of ready rice in multiple flavors",1
6,Milk,https://en.wikipedia.org/wiki/Milk#/media/File:Glass_of_Milk_(33657535532).jpg,1,"(1) gallon of milk",2
7,"Granola Bars",https://upload.wikimedia.org/wikipedia/commons/f/fb/Granola_bar.jpg,1,"(12) count package of granola bars ",3
8,"Mashed Potatoes",https://en.wikipedia.org/wiki/Mashed_potato#/media/File:MashedPotatoes.jpg,1,"Box of instant mashed potatoes",4
9,"Canned Baked Beans",NULL,1,"Can of baked beans",1
10,Ham,https://en.wikipedia.org/wiki/Ham#/media/File:Ham_(4).jpg,1,"Spiral ham",2
